Fund Holdings as of,"09/Nov/2021"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Financials","Equity","6,695,243.20","1.64","6,695,243.20","294,685.00","22.72","United Kingdom","London Stock Exchange","GBP"
"RMV","RIGHTMOVE PLC","Communication","Equity","6,102,621.00","1.50","6,102,621.00","871,803.00","7.00","United Kingdom","London Stock Exchange","GBP"
"MGGT","MEGGITT PLC","Industrials","Equity","5,882,197.38","1.44","5,882,197.38","789,133.00","7.45","United Kingdom","London Stock Exchange","GBP"
"ECM","ELECTROCOMPONENTS PLC","Industrials","Equity","5,763,702.36","1.41","5,763,702.36","475,553.00","12.12","United Kingdom","London Stock Exchange","GBP"
"BME","B&M EUROPEAN VALUE RETAIL SA","Consumer Discretionary","Equity","5,693,353.92","1.39","5,693,353.92","911,520.00","6.25","United Kingdom","London Stock Exchange","GBP"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrials","Equity","5,560,949.20","1.36","5,560,949.20","604,451.00","9.20","United Kingdom","London Stock Exchange","GBP"
"DPH","DECHRA PHARMACEUTICALS PLC","Health Care","Equity","5,310,944.00","1.30","5,310,944.00","109,504.00","48.50","United Kingdom","London Stock Exchange","GBP"
"SMDS","SMITH (DS) PLC","Materials","Equity","5,250,280.93","1.29","5,250,280.93","1,386,762.00","3.79","United Kingdom","London Stock Exchange","GBP"
"IMI","IMI PLC","Industrials","Equity","4,855,060.14","1.19","4,855,060.14","273,063.00","17.78","United Kingdom","London Stock Exchange","GBP"
"WEIR","WEIR GROUP PLC","Industrials","Equity","4,726,145.25","1.16","4,726,145.25","263,295.00","17.95","United Kingdom","London Stock Exchange","GBP"
"SXS","SPECTRIS PLC","Information Technology","Equity","4,382,949.45","1.07","4,382,949.45","116,413.00","37.65","United Kingdom","London Stock Exchange","GBP"
"DPLM","DIPLOMA PLC","Industrials","Equity","4,070,176.60","1.00","4,070,176.60","126,403.00","32.20","United Kingdom","London Stock Exchange","GBP"
"ITV","ITV PLC","Communication","Equity","4,019,986.23","0.98","4,019,986.23","3,677,938.00","1.09","United Kingdom","London Stock Exchange","GBP"
"BWY","BELLWAY PLC","Consumer Discretionary","Equity","3,968,807.04","0.97","3,968,807.04","125,278.00","31.68","United Kingdom","London Stock Exchange","GBP"
"BBOX","TRITAX BIG BOX REIT PLC","Real Estate","Equity","3,967,004.27","0.97","3,967,004.27","1,742,972.00","2.28","United Kingdom","London Stock Exchange","GBP"
"FUTR","FUTURE PLC","Communication","Equity","3,902,379.00","0.96","3,902,379.00","116,350.00","33.54","United Kingdom","London Stock Exchange","GBP"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Discretionary","Equity","3,843,537.59","0.94","3,843,537.59","1,976,620.00","1.94","United Kingdom","London Stock Exchange","GBP"
"AVST","AVAST PLC","Information Technology","Equity","3,838,909.45","0.94","3,838,909.45","679,453.00","5.65","United Kingdom","London Stock Exchange","GBP"
"UTG","UNITE GROUP PLC","Real Estate","Equity","3,807,452.10","0.93","3,807,452.10","343,788.00","11.07","United Kingdom","London Stock Exchange","GBP"
"CNA","CENTRICA PLC","Utilities","Equity","3,777,330.49","0.93","3,777,330.49","5,924,295.00","0.64","United Kingdom","London Stock Exchange","GBP"
"ABC","ABCAM PLC","Health Care","Equity","3,690,720.45","0.90","3,690,720.45","217,485.00","16.97","United Kingdom","London Stock Exchange","GBP"
