Fund Holdings as of,"10/Nov/2021"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BILL","BILL COM HOLDINGS INC","Information Technology","Equity","6,734,599.20","0.27","6,734,599.20","20,580.00","327.24","United States","New York Stock Exchange Inc.","USD"
"ENTG","ENTEGRIS INC","Information Technology","Equity","5,464,720.38","0.22","5,464,720.38","37,641.00","145.18","United States","NASDAQ","USD"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","5,173,041.84","0.20","5,173,041.84","48,274.00","107.16","United States","NASDAQ","USD"
"SBNY","SIGNATURE BANK","Financials","Equity","5,119,878.92","0.20","5,119,878.92","16,234.00","315.38","United States","NASDAQ","USD"
"PWR","QUANTA SERVICES INC","Industrials","Equity","4,649,490.72","0.18","4,649,490.72","40,068.00","116.04","United States","New York Stock Exchange Inc.","USD"
"NUAN","NUANCE COMMUNICATIONS INC","Information Technology","Equity","4,564,734.30","0.18","4,564,734.30","82,965.00","55.02","United States","NASDAQ","USD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","4,483,235.55","0.18","4,483,235.55","3,892,204.00","115.18","European Union","-","EUR"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","4,469,066.00","0.18","4,469,066.00","22,190.00","201.40","United States","New York Stock Exchange Inc.","USD"
"WOLF","WOLFSPEED INC","Information Technology","Equity","4,371,040.00","0.17","4,371,040.00","32,140.00","136.00","United States","New York Stock Exchange Inc.","USD"
"TREX","TREX INC","Industrials","Equity","4,306,732.92","0.17","4,306,732.92","33,842.00","127.26","United States","New York Stock Exchange Inc.","USD"
"JLL","JONES LANG LASALLE INC","Real Estate","Equity","4,017,022.12","0.16","4,017,022.12","15,146.00","265.22","United States","New York Stock Exchange Inc.","USD"
"VACN","VAT GROUP AG","Industrials","Equity","3,890,789.85","0.15","3,890,789.85","7,693.00","505.76","Switzerland","SIX Swiss Exchange","CHF"
"MRO","MARATHON OIL CORP","Energy","Equity","3,856,146.80","0.15","3,856,146.80","232,298.00","16.60","United States","New York Stock Exchange Inc.","USD"
"KIM","KIMCO REALTY REIT CORP","Real Estate","Equity","3,843,758.13","0.15","3,843,758.13","164,193.00","23.41","United States","New York Stock Exchange Inc.","USD"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","Consumer Discretionary","Equity","3,841,412.40","0.15","3,841,412.40","29,820.00","128.82","United States","New York Stock Exchange Inc.","USD"
"RGEN","REPLIGEN CORP","Health Care","Equity","3,840,790.50","0.15","3,840,790.50","14,565.00","263.70","United States","NASDAQ","USD"
"CAR","AVIS BUDGET GROUP INC","Industrials","Equity","3,782,558.12","0.15","3,782,558.12","14,899.00","253.88","United States","NASDAQ","USD"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","3,780,959.60","0.15","3,780,959.60","23,111.00","163.60","United States","NASDAQ","USD"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","3,759,833.28","0.15","3,759,833.28","56,184.00","66.92","United States","New York Stock Exchange Inc.","USD"
"GME","GAMESTOP CORP CLASS A","Consumer Discretionary","Equity","3,660,116.25","0.14","3,660,116.25","18,375.00","199.19","United States","New York Stock Exchange Inc.","USD"
"GGG","GRACO INC","Industrials","Equity","3,641,077.01","0.14","3,641,077.01","45,979.00","79.19","United States","New York Stock Exchange Inc.","USD"
"ZI","ZOOMINFO TECHNOLOGIES INC CLASS A","Communication","Equity","3,624,258.36","0.14","3,624,258.36","51,277.00","70.68","United States","NASDAQ","USD"
"DAR","DARLING INGREDIENTS INC","Consumer Staples","Equity","3,579,169.79","0.14","3,579,169.79","45,787.00","78.17","United States","New York Stock Exchange Inc.","USD"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","3,454,822.84","0.14","3,454,822.84","8,174.00","422.66","United States","New York Stock Exchange Inc.","USD"
"EWBC","EAST WEST BANCORP INC","Financials","Equity","3,412,696.82","0.14","3,412,696.82","40,954.00","83.33","United States","NASDAQ","USD"
"CSL","CARLISLE COMPANIES INC","Industrials","Equity","3,397,069.55","0.13","3,397,069.55","14,455.00","235.01","United States","New York Stock Exchange Inc.","USD"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","3,370,237.95","0.13","3,370,237.95","79,095.00","42.61","United States","New York Stock Exchange Inc.","USD"
"WAL","WESTERN ALLIANCE","Financials","Equity","3,361,991.70","0.13","3,361,991.70","28,115.00","119.58","United States","New York Stock Exchange Inc.","USD"
"FIVE","FIVE BELOW INC","Consumer Discretionary","Equity","3,323,571.90","0.13","3,323,571.90","15,819.00","210.10","United States","NASDAQ","USD"
"FIVN","FIVE9 INC","Information Technology","Equity","3,296,801.16","0.13","3,296,801.16","20,298.00","162.42","United States","NASDAQ","USD"
"LSCC","LATTICE SEMICONDUCTOR CORP","Information Technology","Equity","3,287,931.16","0.13","3,287,931.16","40,966.00","80.26","United States","NASDAQ","USD"
"ESTC","ELASTIC NV","Information Technology","Equity","3,287,341.47","0.13","3,287,341.47","18,883.00","174.09","United States","New York Stock Exchange Inc.","USD"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","3,285,468.43","0.13","3,285,468.43","59,921.00","54.83","United States","New York Stock Exchange Inc.","USD"
"IMCD","IMCD NV","Industrials","Equity","3,261,902.82","0.13","3,261,902.82","14,288.00","228.30","Netherlands","Euronext Amsterdam","EUR"
"CMA","COMERICA INC","Financials","Equity","3,183,997.74","0.13","3,183,997.74","36,014.00","88.41","United States","New York Stock Exchange Inc.","USD"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","3,177,205.50","0.13","3,177,205.50","18,662.00","170.25","United States","NASDAQ","USD"
"USD","USD CASH","Cash and/or Derivatives","Cash","3,166,754.85","0.13","3,166,754.85","3,166,755.00","100.00","United States","-","USD"
"MANH","MANHATTAN ASSOCIATES INC","Information Technology","Equity","3,163,883.97","0.13","3,163,883.97","18,499.00","171.03","United States","NASDAQ","USD"
"PCTY","PAYLOCITY HOLDING CORP","Information Technology","Equity","3,159,927.36","0.13","3,159,927.36","11,883.00","265.92","United States","NASDAQ","USD"
"SCI","SERVICE","Consumer Discretionary","Equity","3,150,471.28","0.12","3,150,471.28","47,036.00","66.98","United States","New York Stock Exchange Inc.","USD"
"APA","APA CORP","Energy","Equity","3,122,922.27","0.12","3,122,922.27","108,699.00","28.73","United States","NASDAQ","USD"
"HUBB","HUBBELL INC","Industrials","Equity","3,122,564.48","0.12","3,122,564.48","15,008.00","208.06","United States","New York Stock Exchange Inc.","USD"
"SITE","SITEONE LANDSCAPE SUPPLY INC","Industrials","Equity","3,099,658.00","0.12","3,099,658.00","12,590.00","246.20","United States","New York Stock Exchange Inc.","USD"
"CROX","CROCS INC","Consumer Discretionary","Equity","3,097,268.76","0.12","3,097,268.76","17,782.00","174.18","United States","NASDAQ","USD"
"AZPN","ASPEN TECHNOLOGY INC","Information Technology","Equity","3,076,567.50","0.12","3,076,567.50","19,785.00","155.50","United States","NASDAQ","USD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","3,075,471.79","0.12","3,075,471.79","83,796.00","36.70","Canada","Toronto Stock Exchange","CAD"
"RH","RH","Consumer Discretionary","Equity","3,067,813.32","0.12","3,067,813.32","4,818.00","636.74","United States","New York Stock Exchange Inc.","USD"
"RRX","REGAL REXNORD CORP","Industrials","Equity","3,021,673.20","0.12","3,021,673.20","18,408.00","164.15","United States","New York Stock Exchange Inc.","USD"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Real Estate","Equity","3,016,911.19","0.12","3,016,911.19","62,449.00","48.31","United States","NASDAQ","USD"
"TTC","TORO","Industrials","Equity","3,009,984.25","0.12","3,009,984.25","29,965.00","100.45","United States","New York Stock Exchange Inc.","USD"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Real Estate","Equity","3,008,885.76","0.12","3,008,885.76","25,024.00","120.24","United States","NASDAQ","USD"
"CUBE","CUBESMART REIT","Real Estate","Equity","2,974,201.60","0.12","2,974,201.60","54,976.00","54.10","United States","New York Stock Exchange Inc.","USD"
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","2,968,130.79","0.12","2,968,130.79","135,717.00","21.87","United States","New York Stock Exchange Inc.","USD"
"GETI B","GETINGE B","Health Care","Equity","2,967,066.87","0.12","2,967,066.87","63,581.00","46.67","Sweden","Nasdaq Omx Nordic","SEK"
"MIDD","MIDDLEBY CORP","Industrials","Equity","2,964,977.95","0.12","2,964,977.95","15,809.00","187.55","United States","NASDAQ","USD"
"SYNH","SYNEOS HEALTH INC CLASS A","Health Care","Equity","2,930,690.36","0.12","2,930,690.36","29,164.00","100.49","United States","NASDAQ","USD"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","2,878,414.66","0.11","2,878,414.66","25,934.00","110.99","United States","NASDAQ","USD"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Consumer Discretionary","Equity","2,866,872.69","0.11","2,866,872.69","107,253.00","26.73","United States","New York Stock Exchange Inc.","USD"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Real Estate","Equity","2,836,276.30","0.11","2,836,276.30","70,642.00","40.15","United States","New York Stock Exchange Inc.","USD"
"GH","GUARDANT HEALTH INC","Health Care","Equity","2,801,063.61","0.11","2,801,063.61","26,993.00","103.77","United States","NASDAQ","USD"
"ZION","ZIONS BANCORPORATION","Financials","Equity","2,782,653.48","0.11","2,782,653.48","42,764.00","65.07","United States","NASDAQ","USD"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","2,782,052.20","0.11","2,782,052.20","31,996.00","86.95","United States","New York Stock Exchange Inc.","USD"
"CONE","CYRUSONE REIT INC","Real Estate","Equity","2,782,069.35","0.11","2,782,069.35","33,907.00","82.05","United States","NASDAQ","USD"
"LSI","LIFE STORAGE INC","Real Estate","Equity","2,768,712.24","0.11","2,768,712.24","21,174.00","130.76","United States","New York Stock Exchange Inc.","USD"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","2,760,408.31","0.11","2,760,408.31","16,841.00","163.91","United States","New York Stock Exchange Inc.","USD"
"TTEK","TETRA TECH INC","Industrials","Equity","2,736,407.44","0.11","2,736,407.44","15,569.00","175.76","United States","NASDAQ","USD"
"XLRN","ACCELERON PHARMA INC","Health Care","Equity","2,729,075.00","0.11","2,729,075.00","15,775.00","173.00","United States","NASDAQ","USD"
"WSO","WATSCO INC","Industrials","Equity","2,724,344.45","0.11","2,724,344.45","9,221.00","295.45","United States","New York Stock Exchange Inc.","USD"
"LAD","LITHIA MOTORS INC","Consumer Discretionary","Equity","2,702,854.89","0.11","2,702,854.89","8,487.00","318.47","United States","New York Stock Exchange Inc.","USD"
"FHN","FIRST HORIZON CORP","Financials","Equity","2,699,803.40","0.11","2,699,803.40","156,058.00","17.30","United States","New York Stock Exchange Inc.","USD"
"YETI","YETI HOLDINGS INC","Consumer Discretionary","Equity","2,692,281.60","0.11","2,692,281.60","26,088.00","103.20","United States","New York Stock Exchange Inc.","USD"
"CPRI","CAPRI HOLDINGS LTD","Consumer Discretionary","Equity","2,685,513.52","0.11","2,685,513.52","42,452.00","63.26","United States","New York Stock Exchange Inc.","USD"
"HRC","HILL ROM HOLDINGS INC","Health Care","Equity","2,677,026.00","0.11","2,677,026.00","17,260.00","155.10","United States","New York Stock Exchange Inc.","USD"
"OVV","OVINTIV INC","Energy","Equity","2,668,725.52","0.11","2,668,725.52","76,184.00","35.03","Canada","New York Stock Exchange Inc.","USD"
"CIEN","CIENA CORP","Information Technology","Equity","2,664,480.50","0.11","2,664,480.50","44,041.00","60.50","United States","New York Stock Exchange Inc.","USD"
"TFII","TFI INTERNATIONAL INC","Industrials","Equity","2,662,997.19","0.11","2,662,997.19","23,831.00","111.75","Canada","Toronto Stock Exchange","CAD"
"ACM","AECOM","Industrials","Equity","2,653,687.74","0.11","2,653,687.74","37,577.00","70.62","United States","New York Stock Exchange Inc.","USD"
"NTRA","NATERA INC","Health Care","Equity","2,653,065.00","0.11","2,653,065.00","24,795.00","107.00","United States","NASDAQ","USD"
"KSS","KOHLS CORP","Consumer Discretionary","Equity","2,645,423.75","0.10","2,645,423.75","45,415.00","58.25","United States","New York Stock Exchange Inc.","USD"
"M","MACYS INC","Consumer Discretionary","Equity","2,644,139.40","0.10","2,644,139.40","88,670.00","29.82","United States","New York Stock Exchange Inc.","USD"
"PEN","PENUMBRA INC","Health Care","Equity","2,613,178.15","0.10","2,613,178.15","9,691.00","269.65","United States","New York Stock Exchange Inc.","USD"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","2,600,572.96","0.10","2,600,572.96","33,844.00","76.84","United States","New York Stock Exchange Inc.","USD"
"OGN","ORGANON","Health Care","Equity","2,598,751.98","0.10","2,598,751.98","70,946.00","36.63","United States","New York Stock Exchange Inc.","USD"
"SF","STIFEL FINANCIAL CORP","Financials","Equity","2,595,732.62","0.10","2,595,732.62","34,619.00","74.98","United States","New York Stock Exchange Inc.","USD"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","2,578,230.00","0.10","2,578,230.00","12,732.00","202.50","United States","NASDAQ","USD"
"PENN","PENN NATIONAL GAMING INC","Consumer Discretionary","Equity","2,560,898.94","0.10","2,560,898.94","45,519.00","56.26","United States","NASDAQ","USD"
"AA","ALCOA CORP","Materials","Equity","2,548,676.34","0.10","2,548,676.34","55,202.00","46.17","United States","New York Stock Exchange Inc.","USD"
"BERY","BERRY GLOBAL GROUP INC","Materials","Equity","2,527,305.92","0.10","2,527,305.92","37,564.00","67.28","United States","New York Stock Exchange Inc.","USD"
"BLD","TOPBUILD CORP","Consumer Discretionary","Equity","2,517,258.96","0.10","2,517,258.96","9,684.00","259.94","United States","New York Stock Exchange Inc.","USD"
"PVH","PVH CORP","Consumer Discretionary","Equity","2,512,490.80","0.10","2,512,490.80","20,785.00","120.88","United States","New York Stock Exchange Inc.","USD"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Consumer Discretionary","Equity","2,498,734.46","0.10","2,498,734.46","17,629.00","141.74","United States","New York Stock Exchange Inc.","USD"
"SAIA","SAIA INC","Industrials","Equity","2,491,281.54","0.10","2,491,281.54","7,482.00","332.97","United States","NASDAQ","USD"
"AIRC","APARTMENT INCOME REIT CORP","Real Estate","Equity","2,488,955.84","0.10","2,488,955.84","47,068.00","52.88","United States","New York Stock Exchange Inc.","USD"
"ICP","INTERMEDIATE CAPITAL GROUP PLC","Financials","Equity","2,483,895.91","0.10","2,483,895.91","79,807.00","31.12","United Kingdom","London Stock Exchange","GBP"
"IIPR","INNOVATIVE INDUSTRIAL PROPERTIES I","Real Estate","Equity","2,478,625.84","0.10","2,478,625.84","9,124.00","271.66","United States","New York Stock Exchange Inc.","USD"
"FLEX","FLEX LTD","Information Technology","Equity","2,475,661.32","0.10","2,475,661.32","138,926.00","17.82","United States","NASDAQ","USD"
"AER","AERCAP HOLDINGS NV","Industrials","Equity","2,471,732.64","0.10","2,471,732.64","36,424.00","67.86","Netherlands","New York Stock Exchange Inc.","USD"
"BRKR","BRUKER CORP","Health Care","Equity","2,461,023.86","0.10","2,461,023.86","30,167.00","81.58","United States","NASDAQ","USD"
"DXC","DXC TECHNOLOGY","Information Technology","Equity","2,459,869.32","0.10","2,459,869.32","73,254.00","33.58","United States","New York Stock Exchange Inc.","USD"
"MKSI","MKS INSTRUMENTS INC","Information Technology","Equity","2,455,950.42","0.10","2,455,950.42","15,642.00","157.01","United States","NASDAQ","USD"
"OLN","OLIN CORP","Materials","Equity","2,451,892.56","0.10","2,451,892.56","41,236.00","59.46","United States","New York Stock Exchange Inc.","USD"
"JBL","JABIL INC","Information Technology","Equity","2,451,737.58","0.10","2,451,737.58","38,513.00","63.66","United States","New York Stock Exchange Inc.","USD"
"BRKS","BROOKS AUTOMATION INC","Information Technology","Equity","2,448,040.96","0.10","2,448,040.96","20,704.00","118.24","United States","NASDAQ","USD"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","2,442,191.87","0.10","2,442,191.87","12,517.00","195.11","United States","NASDAQ","USD"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","2,439,957.90","0.10","2,439,957.90","1,821.00","1,339.90","United States","New York Stock Exchange Inc.","USD"
