iShares MSCI Japan ETF
Fund Holdings as of,"Nov 10, 2021"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"182,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","581,569,470.17","4.65","581,569,470.17","33,031,000.00","17.61","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","473,461,590.80","3.79","473,461,590.80","3,929,300.00","120.50","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6861","KEYENCE CORP","Information Technology","Equity","375,929,438.04","3.01","375,929,438.04","606,004.00","620.34","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","289,701,868.22","2.32","289,701,868.22","4,225,700.00","68.56","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","228,440,472.32","1.83","228,440,472.32","464,652.00","491.64","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9984","SOFTBANK GROUP CORP","Communication","Equity","216,157,427.68","1.73","216,157,427.68","3,756,700.00","57.54","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","210,551,138.23","1.68","210,551,138.23","38,067,980.00","5.53","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","192,498,529.48","1.54","192,498,529.48","1,103,500.00","174.44","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6501","HITACHI LTD","Industrials","Equity","185,619,609.32","1.48","185,619,609.32","3,014,400.00","61.58","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7741","HOYA CORP","Health Care","Equity","177,477,687.55","1.42","177,477,687.55","1,153,200.00","153.90","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","171,427,593.17","1.37","171,427,593.17","776,400.00","220.80","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6594","NIDEC CORP","Industrials","Equity","156,778,482.07","1.25","156,778,482.07","1,394,600.00","112.42","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7974","NINTENDO LTD","Communication","Equity","152,051,867.78","1.22","152,051,867.78","348,200.00","436.68","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9433","KDDI CORP","Communication","Equity","150,670,141.78","1.21","150,670,141.78","5,025,500.00","29.98","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","145,328,370.13","1.16","145,328,370.13","5,077,800.00","28.62","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","139,506,177.96","1.12","139,506,177.96","4,916,600.00","28.37","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","135,322,681.18","1.08","135,322,681.18","4,067,000.00","33.27","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","132,333,004.96","1.06","132,333,004.96","5,458,407.00","24.24","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","132,294,060.84","1.06","132,294,060.84","1,788,600.00","73.97","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","120,854,185.51","0.97","120,854,185.51","181,800.00","664.76","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"9434","SOFTBANK CORP","Communication","Equity","118,809,784.47","0.95","118,809,784.47","8,944,500.00","13.28","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"6954","FANUC CORP","Industrials","Equity","116,413,326.90","0.93","116,413,326.90","597,300.00","194.90","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
"8058","MITSUBISHI CORP","Industrials","Equity","115,905,890.87","0.93","115,905,890.87","3,935,100.00","29.45","Japan","Tokyo Stock Exchange","USD","113.91","JPY","-"
