iShares MSCI South Korea ETF
Fund Holdings as of,"Nov 10, 2021"
Inception Date,"May 09, 2000"
Shares Outstanding,"64,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,135,525,406.83","22.51","1,135,525,406.83","19,102,546.00","59.44","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"000660","SK HYNIX INC","Information Technology","Equity","277,045,946.06","5.49","277,045,946.06","3,015,460.00","91.88","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"035420","NAVER CORP","Communication","Equity","239,706,267.84","4.75","239,706,267.84","682,946.00","350.99","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","195,621,999.24","3.88","195,621,999.24","308,850.00","633.39","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"035720","KAKAO CORP","Communication","Equity","165,562,863.80","3.28","165,562,863.80","1,576,786.00","105.00","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"051910","LG CHEM LTD","Materials","Equity","161,663,250.77","3.21","161,663,250.77","258,344.00","625.77","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","142,285,647.15","2.82","142,285,647.15","805,910.00","176.55","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","114,570,217.20","2.27","114,570,217.20","1,582,476.00","72.40","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","108,895,026.55","2.16","108,895,026.55","2,304,652.00","47.25","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"005490","POSCO","Materials","Equity","102,097,047.29","2.02","102,097,047.29","440,042.00","232.02","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"068270","CELLTRION INC","Health Care","Equity","100,734,662.77","2.00","100,734,662.77","555,900.00","181.21","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","83,790,042.38","1.66","83,790,042.38","2,642,239.00","31.71","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","83,014,534.91","1.65","83,014,534.91","400,147.00","207.46","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","71,545,772.47","1.42","71,545,772.47","103,039.00","694.36","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"066570","LG ELECTRONICS INC","Consumer Discretionary","Equity","66,236,665.82","1.31","66,236,665.82","654,579.00","101.19","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","66,102,343.45","1.31","66,102,343.45","1,784,310.00","37.05","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
"096770","SK INNOVATION LTD","Energy","Equity","64,158,961.43","1.27","64,158,961.43","337,499.00","190.10","Korea (South)","Korea Exchange (Stock Market)","USD","1,180.95","KRW","-"
