iShares Russell 3000 ETF
Fund Holdings as of,"Nov 09, 2021"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","671,628,216.45","5.28","671,628,216.45","1,999,191.00","335.95","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","628,099,218.78","4.93","628,099,218.78","4,164,838.00","150.81","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","411,763,545.97","3.23","411,763,545.97","115,139.00","3,576.23","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","237,644,142.30","1.87","237,644,142.30","79,790.00","2,978.37","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","222,195,196.86","1.75","222,195,196.86","74,438.00","2,984.97","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","216,466,156.00","1.70","216,466,156.00","211,496.00","1,023.50","United States","NASDAQ","USD","1.00","USD","-"
"FB","META PLATFORMS INC CLASS A","Communication","Equity","212,917,022.64","1.67","212,917,022.64","634,872.00","335.37","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","194,559,438.81","1.53","194,559,438.81","634,633.00","306.57","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","141,023,366.10","1.11","141,023,366.10","492,486.00","286.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","132,136,816.80","1.04","132,136,816.80","787,560.00","167.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","115,886,900.80","0.91","115,886,900.80","249,568.00","464.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","113,582,789.28","0.89","113,582,789.28","698,928.00","162.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","104,570,372.55","0.82","104,570,372.55","282,127.00","370.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","95,824,486.62","0.75","95,824,486.62","449,058.00","213.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","93,918,741.42","0.74","93,918,741.42","645,978.00","145.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","92,114,371.36","0.72","92,114,371.36","1,964,897.00","46.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","84,634,814.88","0.66","84,634,814.88","126,714.00","667.92","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","84,365,896.68","0.66","84,365,896.68","481,788.00","175.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","80,026,006.75","0.63","80,026,006.75","232,195.00","344.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","75,972,172.71","0.60","75,972,172.71","245,301.00","309.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","75,194,821.72","0.59","75,194,821.72","114,628.00","655.99","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","74,465,011.32","0.58","74,465,011.32","1,122,137.00","66.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","70,101,296.10","0.55","70,101,296.10","1,482,057.00","47.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","64,954,510.00","0.51","64,954,510.00","1,208,456.00","53.75","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","64,523,461.22","0.51","64,523,461.22","104,309.00","618.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","64,319,473.92","0.51","64,319,473.92","1,119,768.00","57.44","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","64,054,269.82","0.50","64,054,269.82","311,821.00","205.42","United States","NASDAQ","USD","1.00","USD","-"
